bayId,occupiedRate
567,0
568,0
569,0
570,0
571,0
574,0
576,0
579,0
582,0
583,0
584,0
585,1
586,0
587,0
588,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
602,0
603,0
604,0
605,0
606,0
607,0
609,0
610,0
611,0
612,0
615,0
616,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
626,0
627,0
629,0
630,0
633,0
634,0
635,0
639,0
640,0
641,0
642,0
645,0
647,0
649,0
654,0
659,0
661,0
662,0
674,0
676,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
696,0
697,0
699,0
701,0
702,0
710,0
712,0
713,0
714,0
715,0
716,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
735,0
736,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
790,0
791,0
792,0
796,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
840,0
841,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
857,0
858,1
862,0
864,0
865,0
866,0
868,0
869,0
870,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
881,0
882,0
883,1
884,0
885,0
886,0
888,0
909,0
910,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
927,0
928,0
929,0
930,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
956,0
957,0
958,0
980,0
981,0
982,0
1005,0
1006,0
1007,0
1009,0
1011,0
1012,0
1013,0
1014,0
1015,0
1017,0
1018,0
1019,0
1022,0
1023,0
1026,0
1027,0
1028,0
1029,0
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1037,0
1038,0
1039,0
1040,0
1041,0
1053,0
1054,0
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,1
1070,0
1071,0
1072,0
1073,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1114,0
1115,0
1116,0
1117,0
1118,0
1119,0
1120,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1134,0
1137,0
1138,0
1139,0
1140,0
1141,1
1142,0
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,0
1150,0
1152,0
1153,0
1154,0
1155,1
1156,0
1158,0
1161,0
1162,0
1164,0
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,1
1179,0
1180,0
1182,1
1183,0
1184,1
1185,0
1186,1
1187,0
1188,1
1189,1
1190,0
1191,0
1192,1
1194,0
1196,1
1197,0
1198,0
1199,0
1201,0
1204,0
1206,0
1208,0
1209,0
1210,0
1212,0
1213,0
1214,0
1216,0
1218,0
1219,0
1220,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0
1232,0
1233,0
1235,0
1236,0
1237,0
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1245,0
1246,0
1247,0
1248,0
1249,1
1250,0
1251,0
1252,0
1253,0
1254,0
1255,1
1256,0
1257,0
1258,0
1259,0
1268,0
1276,0
1305,1
1306,1
1307,0
1315,0
1316,0
1318,0
1319,0
1320,0
1321,0
1323,0
1325,0
1326,0
1327,0
1328,1
1329,0
1330,0
1332,0
1334,0
1337,0
1339,0
1340,0
1341,0
1342,1
1344,1
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1356,0
1359,0
1367,0
1368,0
1369,0
1370,0
1372,0
1373,0
1374,0
1375,1
1398,0
1400,0
1407,0
1427,0
1429,0
1430,0
1431,0
1434,0
1435,0
1437,1
1441,0
1442,0
1443,1
1444,0
1446,0
1447,0
1448,1
1450,0
1451,0
1452,0
1454,0
1456,0
1457,0
1458,0
1459,0
1460,0
1470,0
1471,0
1474,0
1475,0
1495,0
1496,1
1501,0
1503,0
1504,0
1526,0
1528,0
1531,0
1532,0
1533,0
1534,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,1
1544,0
1587,0
1588,0
1589,0
1590,0
1592,0
1593,0
1594,0
1595,0
1597,0
1599,0
1615,0
1647,1
1648,0
1649,0
1651,0
1652,0
1653,1
1655,0
1658,1
1659,0
1674,0
1682,0
1683,0
1684,0
1685,1
1686,1
1687,0
1689,1
1690,1
1691,0
1693,0
1697,1
1702,0
1704,0
1705,0
1706,0
1709,0
1711,0
1712,1
1713,0
1715,0
1719,0
1722,0
1723,0
1724,0
1725,0
1727,0
1728,0
1729,0
1730,1
1731,0
1732,0
1734,0
1735,0
1737,0
1739,0
1740,0
1741,0
1745,0
1747,0
1753,0
1755,0
1757,0
1759,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,0
1767,0
1768,0
1770,0
1771,0
1772,0
1775,0
1798,0
1801,0
1832,0
1834,0
1836,0
1842,0
1845,0
1847,0
1848,0
1849,0
1850,0
1851,0
1855,0
1856,0
1857,0
1861,0
1863,0
1866,0
1867,0
1868,0
1875,0
1890,0
1891,0
1894,0
1895,0
1896,0
1898,0
1899,1
1900,0
1901,0
1919,0
1920,0
1921,0
1922,0
1923,0
1950,0
1951,0
1952,0
1953,0
1955,0
1957,0
1958,0
1959,0
1961,0
1966,0
1967,0
1978,0
1979,0
1980,0
1981,0
1982,0
1984,0
1986,0
1987,0
1988,0
1989,0
1990,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2002,0
2003,0
2004,0
2017,1
2018,0
2019,0
2020,0
2021,0
2022,1
2023,0
2025,0
2026,1
2027,0
2029,0
2031,0
2032,1
2033,0
2034,0
2036,0
2037,0
2038,0
2040,0
2041,0
2042,1
2043,0
2045,0
2046,0
2047,0
2048,0
2059,0
2060,0
2062,1
2063,0
2146,0
2147,0
2170,0
2188,0
2190,0
2196,0
2197,0
2199,0
2200,0
2201,0
2202,0
2204,0
2287,0
2288,0
2289,0
2290,0
2291,0
2292,0
2293,0
2294,0
2297,0
2298,0
2299,0
2300,0
2302,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2318,1
2321,0
2322,0
2323,0
2324,0
2326,0
2327,0
2328,0
2341,0
2346,0
2348,0
2349,0
2350,0
2351,1
2352,0
2353,0
2355,0
2356,0
2358,0
2359,0
2362,0
2363,0
2364,0
2371,1
2374,0
2375,0
2376,0
2381,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2414,1
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2427,0
2428,0
2429,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2473,0
2474,0
2475,0
2476,0
2477,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2490,0
2491,0
2492,0
2494,0
2495,0
2496,0
2497,0
2499,0
2501,0
2502,0
2504,0
2506,0
2510,0
2512,0
2514,0
2518,0
2524,0
2525,0
2526,0
2528,0
2529,0
2531,0
2532,0
2533,0
2536,0
2537,0
2538,0
2539,0
2540,0
2541,0
2542,0
2544,0
2545,1
2547,0
2549,0
2550,0
2551,0
2554,0
2555,0
2556,0
2557,0
2560,0
2562,0
2563,0
2564,0
2567,0
2568,0
2569,0
2572,0
2573,1
2582,1
2583,0
2585,0
2586,1
2587,0
2588,0
2589,0
2605,0
2626,0
2627,0
2628,0
2652,0
2653,0
2655,0
2656,0
2657,0
2658,0
2660,0
2661,0
2662,0
2664,0
2665,0
2668,0
2669,0
2670,0
2677,0
2680,0
2681,0
2682,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2714,0
2715,1
2717,0
2718,0
2726,0
2727,0
2728,0
2731,0
2732,0
2733,0
2734,0
2735,0
2736,0
2745,0
2746,0
2747,0
2748,0
2749,0
2750,0
2751,0
2752,0
2754,0
2887,0
2888,0
2889,0
2890,0
2891,0
2892,0
2893,0
2896,0
2897,1
2898,0
2899,0
2903,0
2914,0
2919,0
2922,0
3000,0
3001,0
3002,0
3003,0
3004,0
3006,0
3007,0
3011,0
3014,0
3015,0
3016,0
3018,0
3019,0
3024,0
3025,0
3026,0
3027,0
3028,0
3031,0
3036,0
3042,0
3043,0
3044,0
3046,0
3058,0
3059,0
3061,0
3062,0
3092,0
3094,0
3100,0
3102,0
3104,0
3106,0
3107,0
3110,0
