bayId,occupiedRate
570,0
572,0
579,0
582,0
583,0
584,0
589,0.7816901408450704
591,0
592,0
596,0
597,0
602,0
606,0
607,0
609,0
610,0
611,0
612,0
615,0
616,0
620,0
621,0
626,0
640,0
659,0
662,0
675,0
683,0
684,0
685,0
686,0
687,0
688,0
696,0
697,0
698,0
699,0
702,0
710,0
712,0
713,0
714,0
715,0
716,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
726,0
735,0
738,0
741,0
742,0
743,0
744,0
745,0
746,0
748,0
749,0
750,0
752,0
753,0
754,0
755,0
757,0
758,0
759,0
760,0
763,0
764,0
767,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
790,0
791,0
792,0
796,0
798,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
823,0
824,0
825,0
827,0
829,0
830,0
831,0
833,0
834,0
836,0
844,0
845,0
847,0
848,0
849,0
850,0
857,0
858,1
862,0
864,0
865,0
866,0
867,0
868,0.14084507042253522
869,0
870,0
873,0.5633802816901409
874,0
875,0
876,0
877,0
878,0
881,0
882,0
884,0
885,0
888,0
909,0
910,0
911,0
912,0
915,0
918,0
919,0
920,0
927,0
928,0
929,0
930,0
934,0
935,0
938,0
942,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
952,0
953,0
954,0
956,0
957,0
958,0
980,0
981,0
982,0
984,0
1009,0
1011,0
1013,0
1017,0
1018,0
1019,0
1022,0
1024,0
1025,0
1026,0
1028,0
1029,0
1030,0
1031,0
1032,0
1040,0
1054,0
1058,0
1064,0
1066,0
1067,0
1068,0
1069,1
1072,0
1073,0
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1097,0
1099,0
1100,0
1103,0
1104,0
1105,0
1113,0
1115,0
1116,0
1117,0
1118,0
1119,0
1121,0
1123,0
1124,0
1125,0
1126,0
1129,0
1130,0
1134,0
1141,1
1144,0
1146,0
1147,0
1149,0
1151,0
1152,0
1153,0
1154,0
1155,1
1156,0
1157,0
1160,0
1163,1
1164,0
1171,0
1174,0
1175,0
1178,1
1184,1
1185,0
1186,1
1188,1
1190,0
1191,0
1192,1
1194,0
1198,0
1201,0
1204,0
1206,0
1208,0
1209,0
1210,0
1212,0
1213,0
1214,0
1215,0
1216,0
1219,0
1220,0
1224,0
1225,0
1227,0
1228,0
1229,0
1231,0
1233,0
1235,0
1236,0
1237,0
1238,0
1239,0
1242,0
1244,1
1245,0
1246,0
1248,0
1249,1
1250,0
1252,0
1253,0
1260,0
1268,0
1272,1
1274,0
1275,1
1283,0
1300,0
1304,0
1306,1
1307,0.352112676056338
1316,0
1318,0
1319,0
1320,0
1323,0
1329,0
1330,0
1332,0
1334,0
1335,0
1340,0
1344,1
1350,0
1352,0
1354,0
1358,0
1368,0
1370,0
1372,0
1375,1
1398,0
1407,0
1429,0
1430,0
1435,0
1442,0
1444,0
1446,0
1447,0
1448,1
1451,0
1452,0
1453,0
1454,0
1456,0
1457,0
1458,0
1459,0
1460,0
1470,0
1471,0
1474,0
1475,0
1495,0
1496,1
1501,0.5633802816901409
1504,1
1526,0
1531,0
1532,0
1533,0
1534,0
1535,0
1540,0
1541,0
1542,1
1586,0.14084507042253522
1587,0
1588,0
1589,0.5633802816901409
1590,0
1591,0
1592,0
1593,0
1594,0
1595,0
1599,0
1648,0
1649,0
1651,0
1652,0
1653,1
1655,0
1658,1
1659,0
1674,0.352112676056338
1678,0
1682,0.5704225352112676
1683,0.14084507042253522
1684,0
1685,1
1686,1
1687,0
1688,0
1689,1
1690,1
1696,0
1697,1
1704,0
1705,0
1709,0
1713,0
1715,0
1724,0
